Citation,Habitat,meanLat,meanLon,meanNodes,meanLinks,meanLinkDensity,meanGenerality,meanNormGen,meanVulnerability,meanNormVul,meanFracBasal,meanFracInt,meanFracTop,meanMeanFoodChain,meanModularity
"G. Fryer. (1959). The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.",freshwater,-2.556114,32.9520233,33,54,1.636363636,1.928571429,1.178571429,3.6,2.2,0.151515152,0.303030303,0.545454545,2.7845,0.383573388
"G. M. Woodwell, ""Toxic Substances and Ecological Cycles', Scientific American, 216 (1967)",marine,40.940652,-73.15604516,24,34,1.416666667,1.7,1.2,2.266666667,1.6,0.166666667,0.458333333,0.375,3.314,0.50216263
"G.E. MacGinitie. (1935). Ecological Aspects of a California Marine Estuary. American Midland Naturalist, 16 (5), pp. 629-765.",marine,28.41827582,-80.75662491,25,44,1.76,1.913043478,1.086956522,2.75,1.5625,0.08,0.56,0.36,4.522,0.354080579
"G.W. Minshall. (1967). Role of Allochthonous Detritus in the Trophic Stucture of a Woodland Springbrook Community. Ecology. 48(1), pp. 139-149.",freshwater,37.1544593,-80.2733706,13,36,2.769230769,3.272727273,1.181818182,4.5,1.625,0.153846154,0.461538462,0.384615385,3.3475,0.135416667
"Gaedke, U., and Straile, D. (1994). Seasonal changes of trophic transfer efficiencies in a plankton food web derived from biomass size distributions and network analysis. Ecological Modelling. 75/76, pp. 435-445. See also: Gaedke, U., S. HochstÃÂ¤dter & D. Straile (2002) Interplay between energy limitation and nutritional deficiency: Empirical data and food web models. Ecological Monographs 72: 251-270.",freshwater,47.6477691,9.3471796,8,25,3.125,3.125,1,4.166666667,1.333333333,0.125,0.625,0.25,4.3465,0.1336
"GalvÃÂÃÂ¡n PiÃÂÃÂ±a V.H.(2005). Impacto de la pesca en la estructura, funciÃÂÃÂ³n y productividad del ecosistema de la Plataforma Continental de las costas de Jalisco y Colima, MÃÂÃÂ©xico",marine,19.133335,-104.5667,38,361,9.5,10.31428571,1.085714286,9.5,1,0.078947368,0.894736842,0.026315789,6.5215,0.176020722
"Gamito S.,Erzini K.(2005). Trophic food web and ecosystem attributes of a water reservoir of the Ria Formosa (south Portugal) Ecological Modelling. pp 509-520",marine,37.02341561,-7.797225373,14,70,5,5.833333333,1.166666667,5,1,0.142857143,0.857142857,0,5.486,0.129476584
"Garces L.R.,Man A.,Ahmad A.T.,Mohamad-Norizam M.,Silvestre G.T.(2003). A trophic model of the coastal fisheries ecosystem off the West Coast of Sabah and Sarawak, Malaysia . pp 333-352. In Silvestre G.,Garces L.,Stobutzki I.,Ahmed M.,Valmonte-Santos R.A.,Luna C.,Lachica-AliÃÂÃÂ±o L.,Munro P.,Christensen V.,Pauly D.",marine,6.4511785,114.3826,29,215,7.413793103,8.269230769,1.115384615,8.958333333,1.208333333,0.103448276,0.724137931,0.172413793,4.6135,0.119621417
"Glynn, P.W. (1965). Community composition, structure, and interrelationships in the marine intertidal Endocladia muricata-Balanaus glandula association in Monterey Bay, California. Beaufortia, 12: 1-198.",marine,35.42509766,-120.8996094,37,79,2.135135135,2.46875,1.15625,3.16,1.48,0.135135135,0.540540541,0.324324324,3.1415,0.416920365
"Godinot O.,Allain V.(2003). A preliminary Ecopath model of the warm pool pelagic ecosystem Standing Committee on Tuna and Billfish Working Paper",marine,0,145,20,131,6.55,7.705882353,1.176470588,6.55,1,0.15,0.85,0,7.209,0.078986733
Goldwasser & Roughgarden 1993,terrestrial,18.066667,-63.05,44,218,4.954545,5.736842,1.157894822,6.055556,1.222222424,0.1363636,0.6818182,0.1818182,5.784329,0.2602159
"Gontikaki, E., van Oevelen, D., Soetaert, K., and Witte, U. (2011). Food web flows through a sub-arctic deep-sea benthic community. Progress in Oceanography. 91, pp. 245-259.",marine,-3.708083643,-38.50680442,18,61,3.388888889,5.545454545,1.636363636,4.357142857,1.285714286,0.277777778,0.5,0.111111111,3.76,0.14135985
Gray et al. 2015; Thompson et al. 2017,freshwater,51.736666666666665,-0.5066666666666667,119.33333333333333,2907.6666666666665,24.138732346666668,43.19137128333333,1.8360186180000002,25.109251586666666,1.0409302296666667,0.4426736946666667,0.5180321466666666,0.039294158333333336,9.71878958,0.097139512
"Guacnette S.,Heymans S.J.J.,Christensen V.,Trites A.W.(2006). Ecosystem models show combined effects of fishing, predation, competition, and ocean productivity on Steller sea lions (Eumetopias jubatus) in Alaska Canadian Journal of Fisheries and Aquatic Sciences. pp 2495-2517",marine,52,180,40,352,8.8,10.05714286,1.142857143,9.263157895,1.052631579,0.1,0.825,0.05,5.7325,0.130388913
"GuÃÂÃÂ©nette S.,Diallo I.(2004). Addendum: ModÃÂÃÂ¨les de la cÃÂÃÂ´te guinÃÂÃÂ©enne, 1985 et 1998 West African marine ecosystems: models and fisheries impacts. pp 124-159. In Palomares M.L.D.,Pauly D.",marine,9.3059135,-15.374555,44,464,10.54545455,11.04761905,1.047619048,10.54545455,1,0.045454545,0.954545455,0,9.08,0.170061437
"GuÃÂÃÂ©nette S.,Heymans S.J.J.,Christensen V.,Trites A.W.(2006). Ecosystem models show combined effects of fishing, predation, competition, and ocean productivity on Steller sea lions (Eumetopias jubatus) in Alaska Canadian Journal of Fisheries and Aquatic Sciences. pp 2495-2517",marine,57.04492188,-135.2112305,40,475,11.875,13.57142857,1.142857143,12.83783784,1.081081081,0.1,0.825,0.05,7.875,0.084151558
"H.M. Wilbur. Competition, Predation, and the Structure of the Ambystoma-Rama Sylvatica Community. Ecology. 53(1), pp. 3-21.",freshwater,43.8341861,-75.7806349,12,23,1.916666667,2.3,1.2,2.3,1.2,0.166666667,0.666666667,0.166666667,4.551,0.212665406
"Halouani, G., Villanueva, C.-M., Raoux, A., Dauvin, J.C., Ben Rais Lasram, F., Foucher, E., Le LocÃÂ¢ÃÂÃÂh, F., Safi, G., Araignous, E., Robin, J.P., Niquil, N., 2020. A spatial food web model to investigate potential spillover effects of a fishery closure in an offshore wind farm. Journal of Marine Systems 212, 103434. https://doi.org/10.1016/j.jmarsys.2020.103434",marine,49.7,-0.565,42,333,7.928571429,8.538461538,1.076923077,9.514285714,1.2,0.071428571,0.761904762,0.166666667,5.3845,0.178947903
"Hampton, S.E., Fradkin, S.C., Leavitt, P.R., and Rosenberger, E.E. (2011). Disproportionate importance of nearshore habitat for the food web of a deep oligotrophic lake. Marine and Freshwater Research. 62, pp. 350-358.",freshwater,48.0718852,-123.7831016,6,7,1.166666667,2.333333333,2,1.75,1.5,0.5,0.166666667,0.333333333,2.4355,0.12244898
"Haputhantri S.S.K.,Villanueva M.C.S.,Moreau J.(2008). Trophic interactions in the coastal ecosystem of Sri Lanka: An ECOPATH preliminary approach Estuarine, Coastal and Shelf Science. pp 304-318",marine,7.684472656,81.68291016,39,337,8.641025641,9.361111111,1.083333333,8.641025641,1,0.076923077,0.871794872,0.051282051,5.426,0.144348407
"Harris, L.D. and Bowman, G.B. (1980). Vertebrate predator subsystem. In:  A. I. Breymeyer and G. M. Van Dyne, (eds). Grasslands, Systems Analysis and Man. International Biological Programme Series, no. 19. (Cambridge University Press, Cambridge, England), pp. 591-607.",terrestrial,30.2959186,-81.6426369,27,50,1.851851852,2.083333333,1.125,2.173913043,1.173913043,0.111111111,0.740740741,0.148148148,5.366,0.365
"Harris, L.D. and Paur, L. (1972). A quantitative food web analysis of a shortgrass community, Technical Report No. 154, Grassland Biome. (U.S. International Biological Program).",terrestrial,38.1858758,-99.240825,133,416,3.127819549,11.55555556,3.694444444,3.681415929,1.17699115,0.729323308,0.120300752,0.15037594,2.7855,0.399737657
"Hatanaka, M.A. (1977). Sendai Bay. In: K.  Hogetsu, M. Horanaka, T. Hatanaka, T. Kawamura, (eds). Productivity of Biocenoses in Coastal Regions of Japan. (Japanese Committee for the International Biological Program Synthesis, Tokyo), 14:173-221.",marine,38.1667,141.1667,12,19,1.583333333,1.727272727,1.090909091,2.375,1.5,0.083333333,0.583333333,0.333333333,3.6665,0.281163435
"Hattab, T., Ben Rais Lasram, F., Albouy, C., Romdhane, M.S., Jarboui, O., Halouani, G., Cury, P., Le LocÃÂ¢ÃÂÃÂh, F., 2013. An ecosystem model of an exploited southern Mediterranean shelf region (Gulf of Gabes, Tunisia) and a comparison with other Mediterranean ecosystem model properties. Journal of Marine Systems 128, 159ÃÂ¢ÃÂÃÂ174. doi:10.1016/j.jmarsys.2013.04.017",marine,34.318025,11.803055,41,413,10.07317073,11.47222222,1.138888889,11.16216216,1.108108108,0.12195122,0.780487805,0.097560976,5.8395,0.155151398
Heymans J.J.(2003). Ecosystem models of Newfoundland and Southeastern Labrador: Additional information and analyses for 'Back to the Future' Fisheries Centre Research Reports,marine,44.9645,-58.549,50,563,11.26,11.72916667,1.041666667,12.51111111,1.111111111,0.04,0.86,0.1,6.0325,0.136318393
"Heymans J.J.,Vakily J.M.(2004). Structure and dynamics of the marine ecosystem off Sierra Leone for three time periods: 1964, 1978, 1990 West African marine ecosystems: models and fisheries impacts. pp 160-169. In Palomares M.L.D.,Pauly D.",marine,6.5457395,-13.826165,44,416,9.454545455,9.904761905,1.047619048,9.454545455,1,0.045454545,0.954545455,0,9.6475,0.171642326
"Hogetsu, K. (1979). Biological productivity of some coastal regions of Japan. In: M.J. Dunbar, (ed), Marine Production Mechanisms, (IBP, Cambridge University Press, Cambridge, England), pp. 71-87.",marine,34.865732,138.5423332,16,37,2.3125,2.642857143,1.142857143,2.466666667,1.066666667,0.125,0.8125,0.0625,5.11,0.260409058
"Holm, E. and Scholtz, C.H. (1980). Structure and pattern of the Namib Desert dune ecosystem at Gobabeb. Madoqua 1: 3ÃÂ39.",terrestrial,-23.2335499,17.3231107,17,39,2.294117647,3,1.307692308,2.785714286,1.214285714,0.235294118,0.588235294,0.176470588,4.1085,0.258711374
"Hoover C.(2009). Ecosystem effects of climate change in the Antarctic Peninsula Ecopath 25 years conference proceedings: Extended abstracts. pp 96-97. In Palomares M.L.,Morissette L.,Cisneros-Montemayor A.,Varkey D.,Coll M.,Piroddi C.",marine,-64.98429,-60.01274,61,691,11.32786885,12.7962963,1.12962963,12.12280702,1.070175439,0.081967213,0.852459016,0.032786885,6.392,0.185296782
"Hoover C.(2010). Hudson Bay ecosystem: past, present, and future A Little Less Arctic. pp 217-236",marine,56.8311,-85.509435,40,410,10.25,11.38888889,1.111111111,10.51282051,1.025641026,0.1,0.8,0.1,5.738,0.152592809
"Howell K.L.,Heymans J.J.,Gordon J.D.M.,Duncan J.,Ayers M.,Jones E.G.(2009). DEEPFISH Project: Applying an ecosystem approach to the sustainable management of deep-water fisheries. Part 1: Development of an Ecopath with Ecosim model. Scottish Association for Marine Science Report",marine,57.40435,-8.673944,34,289,8.5,9.03125,1.0625,8.5,1,0.058823529,0.941176471,0,9.014,0.154135858
Howes 1954,terrestrial,32.25,-110.5,48,138,2.875,3.538462,1.230769391,4.451613,1.54838713,0.1875,0.4583333,0.3541667,3.508264,0.2880172
"Howes, P.G. (1954). The Giant Cactus Forest and Its World: A Brief Biology of the Cactus Forest of Our American Southwest (Duell, Sloan, and Pearce, New York), pp. 222-239.",terrestrial,32.2598642,-112.9262583,48,138,2.875,3.538461538,1.230769231,4.451612903,1.548387097,0.1875,0.458333333,0.354166667,3.31,0.305581811
Hydrobiologia,freshwater,-3.705995,-38.68402,31,176,5.677419355,6.068965517,1.068965517,8.380952381,1.476190476,0.064516129,0.612903226,0.322580645,3.707,0.134507361
"Innes-Gold, A., Heinichen, M., Gorospe, K., Truesdale, C., Collie, J., & Humphries, A. (2020). Model",marine,41.615,-71.305,15,76,5.066666667,6.333333333,1.25,5.428571429,1.071428571,0.2,0.666666667,0.133333333,6.683,0.124028565
"J. M. Teal. (1962). Energy Flow in the Salt Marsh Ecosystem of Georgia. Ecology, 43(4), pp. 614-624.",marine,31.12705078,-81.46035156,7,6,0.857142857,1.5,1.75,1.2,1.4,0.428571429,0.285714286,0.285714286,3,0.319444444
"J. R. Erichsen Jones. (1949). A Further Ecological Study of Calcareous Streams in the 'Black Mountain' District of South Wales. Journal of Animal Ecology. 18(2), pp. 142-159.",freshwater,51.6880582,-3.8231446,12,27,2.25,3.375,1.5,2.7,1.2,0.333333333,0.5,0.166666667,3.389,0.163923182
"J.D. Allan. (1982). The Effects of Reduction in Trout Density on the Invertebrate Community of a Mountain Stream. Ecology. 63(5), pp. 1444-1455.",freshwater,37.8268279,-107.6694023,19,21,1.105263158,5.25,4.75,1.235294118,1.117647059,0.736842105,0.157894737,0.052631579,2.33,0.189342404
"J.L. Harrison. (1962). The Distribution of Feeding Habits Among Animals in a Tropical Rain Forest. Journal of Animal Ecology. 31(1), pp. 53-63.",terrestrial,3.1418967,101.6980571,11,14,1.272727273,1.75,1.375,2.8,2.2,0.272727273,0.181818182,0.545454545,2.6535,0.293367347
"J.R. Erichsen Jones. (1949). A Further Ecological Study of Calcareous Streams in the 'Black Mountain' District of South Wales. Journal of Animal Ecology. 18(2), pp. 142-159.",freshwater,51.7374406,-3.9087273,29,105,3.620689655,4.772727273,1.318181818,5,1.380952381,0.24137931,0.482758621,0.275862069,3.1235,0.183265306
"J.R. Erichsen Jones. (1950). A Further Ecological Study of the River Rheidol: The Food of the Common Insects of the Main-Stream. Journal of Animal Ecology. 19(2), pp. 159-174.",freshwater,52.3957019,-3.9280788,18,75,4.166666667,5.769230769,1.384615385,4.6875,1.125,0.277777778,0.611111111,0.111111111,3.7865,0.143377778
Jacob et al. 2011,marine,-71.1879,-45,490,15989,32.63061224,37.62117647,1.152941176,34.9868709,1.072210066,0.132653061,0.8,0.067346939,6.561,0.320393833
Jacob et al. 2015,marine,51.49792014,-9.305106186,346,5039,14.56358382,16.96632997,1.164983165,15.13213213,1.039039039,0.141618497,0.820809249,0.037572254,6.767,0.405493068
"Jarre-Teichmann A.,Pauly D.(1993). Seasonal Changes in the Peruvian Upwelling Ecosystem . pp 307-314. In Christensen V.,Pauly D.",marine,-12.10169875,-77.07265022,20,94,4.7,5.529411765,1.176470588,7.230769231,1.538461538,0.15,0.5,0.35,4.221,0.178343573
"Joana Romero et al. (2024) Marine Environmental Research, 195: 106382",marine,33,-17,51,426,8.352941176,8.693877551,1.040816327,8.352941176,1,0.039215686,0.960784314,0,8.8165,0.223172387
"Jones T.,Fulton E.A.,Wood D.(2011). Challenging tourism theory through integrated models: how multiple model projects strengthen outcomes through a case study of tourism development on the Ningaloo Coast of Western Australia MODSIM 2011 - 19th International Congress on Modelling and Simulation. pp 3112-3120. In Chan F.,Marinova D.,Anderssen R.S.",marine,-22.55273748,113.7140884,53,576,10.86792453,12.52173913,1.152173913,11.52,1.06,0.132075472,0.79245283,0.075471698,7.3205,0.156499297
Jonsson et al. 2005,freshwater,46.251182,-89.497252,51,241,4.725490196,10.95454545,2.318181818,4.82,1.02,0.568627451,0.392156863,0.039215686,5.844708829,0.286173293
Juanes & Conover (1995),marine,40.16666667,-73.16666667,2,1,0.5,1,2,1,2,0.5,0,0.5,2,0
"K. Paviour-Smith. (1956). The Biotic Community of a Salt Meadow in New Zealand. Transactions of the Royal Society of New Zealand, 83(3), pp. 525-554.",terrestrial,-37.0859902,174.647936,45,49,1.088888889,1.289473684,1.184210526,2.882352941,2.647058824,0.155555556,0.222222222,0.622222222,2.963,0.683881716
"K.W. Cummins, W.P. Coffman, and P.A. Roff. (1966). Trophic relationships in a small woodland stream. Verh. Internat. Verein. Limnol. 16, pp. 627-638.",freshwater,41.0525302,-75.7729951,19,28,1.473684211,1.647058824,1.117647059,3.111111111,2.111111111,0.105263158,0.368421053,0.526315789,2.7585,0.320153061
"Kay D.W.(2011). Liberia report on Ecopath modeling Ecosystem-based fisheries management using Ecopath with Ecosim (EwE) software. pp 105-118. In Christensen V.,Villanueva C.",marine,4.0035,-9.4294995,14,38,2.714285714,3.166666667,1.166666667,3.166666667,1.166666667,0.142857143,0.642857143,0.214285714,4.157,0.213642659
"Kellermann, A. (1987)",marine,-63,-58,34,46,1.352941176,15.33333333,11.33333333,1.393939394,1.03030303,0.911764706,0.058823529,0.029411765,2.837,0.323960302
"Kemp, W.M., Smith, W.H.B., McKellar, H.N., Lehman, M.E., Homer, M., Young, D.L. and Odum, H.T. (1977). Energy cost-benefit analysis applied to power plants near Crystal River, Florida. In C.A.S. Hall and J.W. Day, Jr. (eds). Ecosystem Modeling in Theory and Practice: An Introduction with Case Histories (Wiley, New York), pp. 507-543.",marine,28.05683612,-80.59562798,14,28,2,2.333333333,1.166666667,2.8,1.4,0.142857143,0.571428571,0.285714286,3.4325,0.198341837
Keramidas et al. 2022,marine,37.910465,25.22417,44,311,7.068181818,7.585365854,1.073170732,7.974358974,1.128205128,0.068181818,0.818181818,0.113636364,5.1895,0.210570689
"Khan, M.R., and Panikkar, P. (2009). Assessment of impacts of invasive fishes on the food web structure and ecosystem properties of a tropical reservoir in India. Ecological Modelling. 220, pp. 2281-2290.",freshwater,12.7872629,77.8839454,14,49,3.5,4.454545455,1.272727273,4.083333333,1.166666667,0.214285714,0.642857143,0.142857143,3.588,0.072678051
"Kira L. Allen, Kristy A. Lewis,Future impacts of reduced freshwater inflow and sea level rise on forage fish and their predators in Apalachicola Bay, Florida,Food Webs,Volume 41,2024,e00372,ISSN 2352-2496.",marine,29.73841325,-84.98632222,52,628,12.07692308,12.56,1.04,12.07692308,1,0.038461538,0.961538462,0,10.488,0.097445806
"Kitazawa, Y. (1977) Ecosystem metabolism of the subalpine coniferous forest of the Shigayama IBP Area. In: Y. Kitazawa (ed), Ecosystem Analysis of the Subalpine Coniferous Forest of the Shigayama IBP Area, Central Japan. (Japanese Committee for the International Biological Program Synthesis, Tokyo), 15:181-196.",terrestrial,36.5748441,139.2394179,10,13,1.3,1.625,1.25,1.625,1.25,0.2,0.6,0.2,4.0925,0.434911243
"Koepcke, H.W. and Koepcke, M. (1952). Sobre el proceso de transformacion de la materia organica en las playas arenosas marinas del Peru.  Publ. Univ. Nac. Mayer San Marcos, Zoologie Serie A, No. 8, p. 24.",marine,40.69510983,-73.9923746,46,74,1.608695652,2.3125,1.4375,3.083333333,1.916666667,0.217391304,0.304347826,0.391304348,3.259,0.458181154
"Kuusela, K, (1979). Early Summer Ecology and Community Structure of the Macrozoobenthos on Stones In the JÃÂ¤vÃÂ¤jÃÂ¤nkoski Rapids on the River Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland).",freshwater,63.2467777,25.9209164,16,42,2.625,3.5,1.333333333,3.818181818,1.454545455,0.25,0.4375,0.3125,2.925,0.119897959
KÃÂ©fi et al. 2015,marine,-33.0325022025,-71.6320965275,103.75,1347,12.986030265,24.085640565,1.854314781,14.07161588,1.0835758227499999,0.46040986675,0.46246214575,0.0771279875,5.58223670725,0.18424380699999998
"L.J. Tilly. (1968). The Structure and Dynamics of Cone Spring. Ecological Monographs. 38(2), pp. 169-197.",freshwater,37.6404693,-117.7827347,11,20,1.818181818,2,1.1,2.857142857,1.571428571,0.090909091,0.545454545,0.363636364,3.196,0.19
"L.W. Swan. (1961). The Ecology of the High Himalayas. Scientific American, pp. 68-78.",terrestrial,34.1763796,77.5805391,18,18,1,1.2,1.2,1.8,1.8,0.166666667,0.388888889,0.444444444,3.1535,0.560185185
Lafferty et al. 2006,marine,34.39198424,-119.5428908,69,288,4.173913043,8.470588235,2.029411765,4.298507463,1.029850746,0.507246377,0.463768116,0.028985507,4.777391304,0.319667486
Lafferty et al. 2006,terrestrial,34.400713,-119.537602,129,874,6.775193798,11.97260274,1.767123288,9.711111111,1.433333333,0.434108527,0.263565891,0.302325581,7.91050292,0.403315624
Lancaster (1991),marine,51.74106445,-4.386279297,2,1,0.5,1,2,1,2,0.5,0,0.5,2,0
"Lapez-Vila, J.M., Schmitter-Soto, J.J. & Velazquez-Velazquez, E. A Trophic Model for a Periodically Closed Coastal Lagoon System in the Southern Mexican Pacific. Wetlands 41, 55 (2021).",marine,15.46511604,-93.1879742,32,222,6.9375,7.161290323,1.032258065,6.9375,1,0.03125,0.96875,0,9.681,0.178905094
"Lapez-Vila, J.M., Schmitter-Soto, J.J., Velazquez-Velazquez, E. et al. Hydrobiologia (2018). https://doi.org/10.1007/s10750-018-3770-1",marine,15.17,-92.85,34,210,6.176470588,6.5625,1.0625,6.176470588,1,0.058823529,0.941176471,0,6.4205,0.189580251
Layer et al 2010,freshwater,53.44888888888889,-2.009777777777778,41.111111111111114,501,8.394722433777778,14.702379674555555,1.7949348557777778,9.090486564888888,1.0852659492222223,0.43288205844444444,0.48432842866666664,0.08278951288888889,5.880306283333333,0.14909662433333334
Layer et al. 2010,freshwater,52.47,-3.7,22,109,4.954545455,9.083333333,1.833333333,4.954545455,1,0.454545455,0.5,0.045454545,4.115384615,0.127400549
"Lees K.,Mackinson S.(2007). An Ecopath model of the Irish Sea: ecosystems properties and sensitivity analysis. Science Series Technical Report",marine,53.50717,-4.626665,53,557,10.50943396,11.85106383,1.127659574,11.36734694,1.081632653,0.113207547,0.79245283,0.094339623,5.6865,0.175142318
Legagneux et al. 2014,freshwater,64.056648,-21.307716,75,812,10.82666667,29,2.678571429,11.94117647,1.102941176,0.626666667,0.28,0.093333333,3.166188198,0.070918974
Legagneux et al. 2014,terrestrial,73.84146514285715,-22.426791285714284,18.714285714285715,45.142857142857146,2.3286548275714285,3.3893133011428573,1.4818518318571428,3.5310832024285714,1.495656724142857,0.3175823537142857,0.35917897114285713,0.32323867542857143,2.9637397531428573,0.23161746014285714
"Lercari D.,ArreguÃÂÃÂ­n-SÃÂÃÂ¡nchez F.(2009). An ecosystem modelling approach to deriving viable harvest strategies for multispecies management of the Northern Gulf of California Aquatic Conservation: Marine and Freshwater Ecosystems. pp 384-397",marine,30.75,-113.5,34,341,10.02941176,11,1.096774194,10.02941176,1,0.088235294,0.911764706,0,7.171,0.127825699
"Lercari D.,Bergamino L.,Defeo O.(2010). Trophic models in sandy beaches with contrasting morphodynamics: comparing ecosystem structure and biomass flow Ecological Modelling. pp 2751-2759",marine,-34.198686305,-53.758260175,14.5,40.5,2.6666666665000003,3.1666666665000003,1.1984126984999999,2.8914473684999997,1.0888157895,0.161111111,0.7583333335,0.0805555555,3.82625,0.143272392
Lewis et al 2002,terrestrial,16.733503,-88.986329,104,269,2.586538,2.717172,1.050505347,4.637931,1.793103755,0.05769231,0.4903846,0.4423077,5.98736,0.3887767
"Libralato S.,Tempesta M.,Solidoro C.,Spoto M.(2006). An ecosystem model applied to Miramare Natural Marine Reserve: limits, advantages and perspectives Biologia Marina Mediterranea. pp 386-395",marine,45.425,13.425,19,37,1.947368421,2.3125,1.1875,2.642857143,1.357142857,0.157894737,0.526315789,0.315789474,3.571,0.339298758
"Lin H.-J.,Shao K.-T.,Hwang J.-S.,Lo W.-T.,Cheng I.-J.,Lee L.-H.(2004). A trophic model for Kuosheng Bay in northern Taiwan Journal of Marine Science and Technology. pp 424-432",marine,25.21552,121.6717,17,50,2.941176471,3.571428571,1.214285714,3.333333333,1.133333333,0.176470588,0.705882353,0.117647059,4.878,0.2048
"Lin H.-J.,Shao K.-T.,Kuo S.-R.,Hsieh H.-L.,Wong S.-L.,Chen I.-M.,Lo W.-T.,Hung J.-J.(1999). A Trophic Model of a Sandy Barrier Lagoon at Chiku in Southwestern Taiwan Estuarine, Coastal and Shelf Science. pp 575-588",marine,23.12902952,120.0765062,13,40,3.076923077,4,1.3,3.333333333,1.083333333,0.230769231,0.692307692,0.076923077,4.7185,0.1221875
"Lin, H-J., Dai, X-X,, Shao, K-T., Su, H-M., Lo, W-T., Hsieh, H-L., Fang, L-S., and Hung, J-J. (2006). Trophic structure and functioning in a eutrophic and poorly flushed lagoon in southwestern Taiwan. Marine Environmental Research. 62, pp. 61-82.",marine,22.44448812,120.474181,18,85,4.722222222,5.666666667,1.2,4.722222222,1,0.166666667,0.777777778,0.055555556,5.0785,0.130134998
"Link J.S.,Griswold C.A.,Methratta E.T.,Gunnard J.(2006). Documentation for the Energy Modeling and Analysis eXercise (EMAX) Northeast Fisheries Science Center Reference Document",marine,40.534105000000004,-70.4187225,31.75,304,9.56916697225,10.5678571425,1.1044334975,9.56916697225,1,0.09455186974999999,0.88931909825,0.0161290325,7.33325,0.199903882
"Liu, Q-I., Chen, Y., Li, J-L., and Chen, L-Q. (2007). The food web structure and ecosystem properties of a filter-feeding carps dominated deep reservoir ecosystem. Ecological Modelling. 203, pp. 279-289.",freshwater,29.6338674,119.0398497,16,50,3.125,3.846153846,1.230769231,3.333333333,1.066666667,0.1875,0.75,0.0625,4.376,0.1978
Lobry J.(2004). Which reference pattern of functioning for estuarine ecosystems? The case of fish successions in the Gironde estuary,marine,45.29863838,-0.761255877,18,72,4,4.5,1.125,5.538461538,1.384615385,0.111111111,0.611111111,0.277777778,4.119,0.183738426
"Lozano-Montes H.M.,Loneragan N.R.,Babcock R.C.,Jackson K.(2011). Using trophic flows and ecosystem structure to model the effects of fishing in the Jurien Bay Marine Park, temperate Western Australia Marine and Freshwater Research. pp 421-431",marine,-30.26053898,115.005237,80,637,7.9625,10.27419355,1.290322581,8.166666667,1.025641026,0.225,0.7375,0.0375,5.8215,0.213729861
"Lozano-Montes, H., Loneragan, N., Fourie, S., Wise B. (2024). Using conceptual, qualitative and quantitative ecosystem models to characterise the trophic structure, ecosystem attributes and functioning of Cockburn Sound. Prepared for the WAMSI Westport Marine Science Program. 148 pp.",marine,-32.6325859,115.636028,73,473,6.479452055,7.059701493,1.089552239,6.855072464,1.057971014,0.082191781,0.849315068,0.068493151,6.24,0.310150942
"M.S.W. Bradstreet, and W.E. Cross. (1982). Trophic Relationships at High Arctic Ice Edges. Arctic. 35(1), pp. 1-12.",terrestrial,61.0666922,-107.991707,12,20,1.666666667,2,1.2,3.333333333,2,0.166666667,0.333333333,0.5,3.582,0.16875
"Manickchand-Heileman S.,ArreguÃÂÃÂ±ÃÂÃÂn-SÃÂÃÂ¡nchez F.,Lara-DomÃÂÃÂ­nguez A.,Soto L.A.(1998). Energy flow and network analysis of Terminos Lagoon, SW Gulf of Mexico Journal of Fish Biology. pp 179-197",marine,18.628265,-91.572455,20,145,7.25,8.529411765,1.176470588,7.25,1,0.15,0.85,0,5.858,0.075725567
"Manickchand-Heileman S.,Soto L.A.,Escobar E.(1998). A Preliminary Trophic Model of the Continental Shelf, South-western Gulf of Mexico Estuarine, Coastal and Shelf Science. pp 885-899",marine,19.247375,-92.60326,19,116,6.105263158,6.823529412,1.117647059,6.444444444,1.055555556,0.105263158,0.842105263,0.052631579,6.083,0.094173389
"Mann, K.H. (1972). Case history:  The River Thames.  In: R. T. Oglesby, C. A. Carlson, and J. A. McCann (eds). River Ecology and Man, (Academic Press, New York and London), pp. 215-232.",freshwater,51.5215931,0.0965787,10,13,1.3,2.166666667,1.666666667,1.625,1.25,0.4,0.4,0.2,2.6925,0.221893491
"Marshall, B.E. (1982). The fish of Lake McIlwaine.  In: J. A. Thornton (ed). Lake McIlwaine:  the eutrophication and recovery of a tropical man-made lake. Monographia Biologicae, Vol 49, (D. W. Junk Publishers, The Hague), pp. 156-188.",freshwater,11.5024338,17.7578122,19,34,1.789473684,2.615384615,1.461538462,3.090909091,1.727272727,0.263157895,0.315789474,0.368421053,3.384,0.285034602
Martell S.J.D.(2002). Variation in pink shrimp populations off the West coast of Vancouver Island: oceanographic and trophic interactions,marine,49.53494,-127.5085,15,70,4.666666667,5.384615385,1.153846154,4.666666667,1,0.133333333,0.8,0.066666667,5.7095,0.143274221
